Weight,From_OTU,To_OTU,From_lineage,To_lineage,From_lineage_short,"To_lineage_short
"
0.73,129,82,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);
"
0.65,22,98,"Root(100);Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Burkholderiales(100);unclassified(97);unclassified(97);","Root(100);Bacteria(100);""Proteobacteria""(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(99);",Betaproteobacteria(100);Burkholderiales(100);,"Neisseriaceae(100);Neisseria(99);
"
0.64,52,39,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);
"
0.64,268,106,"Root(100);Bacteria(100);""Spirochaetes""(100);Spirochaetes(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);","Root(100);Bacteria(100);""Spirochaetes""(100);Spirochaetes(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);",Spirochaetaceae(100);Treponema(100);,"Spirochaetaceae(100);Treponema(100);
"
0.59,134,80,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Porphyromonadaceae""(100);Porphyromonas(100);","""Prevotellaceae""(100);Prevotella(100);","""Porphyromonadaceae""(100);Porphyromonas(100);
"
0.59,133,61,"Root(100);Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(99);","Root(100);Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);",Actinomycetaceae(100);Actinomyces(99);,"Actinomycetaceae(100);Actinomyces(100);
"
0.58,129,10,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);
"
0.58,10,82,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);","""Prevotellaceae""(100);Prevotella(100);
"
0.57,29,94,"Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);Veillonellaceae(100);Selenomonas(95);","Root(100);Bacteria(100);""Firmicutes""(100);""Clostridia""(100);Clostridiales(100);Veillonellaceae(100);Selenomonas(100);",Veillonellaceae(100);Selenomonas(95);,"Veillonellaceae(100);Selenomonas(100);
"
0.57,38,1,"Root(100);Bacteria(100);""Bacteroidetes""(100);""Bacteroidia""(100);""Bacteroidales""(100);""Porphyromonadaceae""(100);Parabacteroides(69);","Root(100);Bacteria(100);""Actinobacteria""(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);Propionibacterium(100);","""Porphyromonadaceae""(100);Parabacteroides(69);","Propionibacteriaceae(100);Propionibacterium(100);
"
