Gram Stain,Domain,Phylum,Class,Order,Family,Genus,Species,Organism Name,Culture Collection (Strain),GENRE Filename,HOMD Sequence ID,NCBI Taxon ID,ftp for NCBI genome,NCBI Accession,Kbase ID,HOMD HOT ID,Kbase download notes
Negative,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,oralis,Methanobrevibacter oralis,JMR01,Methanobrevibacter_oralis_JMR01.mat                      ,SEQF2671,1415626,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/archaea/Methanobrevibacter_oralis/all_assembly_versions/GCF_000529525.1_Methanobrevibacter_oralis_JMR01,'GCF_000529525.1',238715,815,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,segnis,Aggregatibacter segnis,ATCC 33393,Aggregatibacter_segnis_ATCC_33393.mat                    ,SEQF1957,888057,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/305/GCF_000185305.1_ASM18530v1,'GCF_000185305.1',3594,762,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,sp. oral taxon 458,Aggregatibacter sp. oral taxon 458,W10330,Aggregatibacter_oral_taxon_458_W10330.mat                ,SEQF2445,1321772,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/335/GCF_000466335.1_ASM46633v1,'GCF_000466335.1',209870,458,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,aphrophilus,Aggregatibacter aphrophilus,NJ8700,Aggregatibacter_aphrophilus_NJ8700.mat                   ,SEQF1221,634176,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/985/GCF_000022985.1_ASM2298v1,'GCF_000022985.1',2675,545,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,actinomycetemcomitans,Aggregatibacter actinomycetemcomitans,D17P-2,Aggregatibacter_actinomycetemcomitans_D17P-2.mat         ,SEQF1954,754506,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/241/005/GCF_000241005.2_AaD17P-2v2.0,'GCF_000241005.2',27555,531,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,actinomycetemcomitans,Aggregatibacter actinomycetemcomitans,HK1651,Aggregatibacter_actinomycetemcomitans_HK1651.mat         ,SEQF1074,272556,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/604/045/GCF_000604045.1_ASM60404v1,'GCF_000604045.1',244838,531,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,haemolyticus,Haemophilus haemolyticus,M21639,Haemophilus_haemolyticus_M21639.mat                      ,SEQF2076,1028806,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/085/GCF_000222085.1_ASM22208v2,'GCF_000222085.1',23312,851,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,haemolyticus,Haemophilus sp. oral taxon 851,F0397,Haemophilus_oral_taxon_851_F0397.mat                     ,SEQF1850,762965,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/295/GCF_000242295.1_ASM24229v1,'GCF_000242295.1',27711,851,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,aegyptius,Haemophilus aegyptius,ATCC 11116,Haemophilus_aegyptius_ATCC_11116.mat                     ,SEQF1963,888728,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/005/GCF_000195005.1_ASM19500v1,'GCF_000195005.1',3601,535,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,influenzae,Haemophilus influenzae,PittGG,Haemophilus_influenzae_PittGG.mat                        ,SEQF1232,374931,ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/bacteria/Haemophilus_influenzae/all_assembly_versions/suppressed/GCF_000016485.1_ASM1648v1,'GCF_000016485.1',1126,641,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,Haemophilus parainfluenzae,ATCC 33392,Haemophilus_parainfluenzae_ATCC_33392.mat                ,SEQF2077,888828,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/405/GCF_000191405.1_ASM19140v1,'GCF_000191405.1',3627,718,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,Haemophilus parainfluenzae,T3T1,Haemophilus_parainfluenzae_T3T1.mat                      ,SEQF1239,862965,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/895/GCF_000210895.1_ASM21089v1,'GCF_000210895.1',3441,718,
